"ROLE_ID","CONTACT_ID","R01_ORG_NAME"
3,1097,"Caja de Ahorros de Galicia (Caixa Galicia)"
3,1098,"Cajamurcia"
3,1101,"Caja de Ahorros de Vitoria y Alava"
3,1103,"Caja de Ahorros del Mediterraneo"
3,1105,"Caja Navarra"
3,1107,"Caja de Ahorros y Monte de Piedad de Extremadura"
3,1111,"Caja de Badajoz"
3,1113,"Caja de Burgos"
3,1115,"Caja Espana de Inversiones"
3,1117,"Caja General de Ahorros de Granada"
3,1118,"Caja Insular de Ahorros de Canarias"
3,1119,"Caja Cìrculo"
3,1122,"Calcados Azaleia S/A"
3,1128,"Camara Argentina De Comercio"
3,1130,"Camara de Comercio de Lima"
3,1131,"Camara de Comercio, Industrias y Agricultura de Panama"
3,1132,"Cámara Junior de Panamá  (JCI)"
3,1136,"Campofrío Alimentación S.A."
3,1138,"Camuzzi Gas Pampeana S.A. y Camuzzi Gas del Sur S.A."
3,1139,"Can Am Consulting"
3,1141,"Canada International United Business Association"
3,1143,"Canal Bridge Consulting"
3,1145,"Canberra International Airport"
3,1147,"Candanedo & Candanedo"
3,1148,"Canlubang Pulp Manufacturing Corporation"
3,1149,"Canlubang Sugar Estate"
3,1150,"Canoe Dreams"
3,1151,"Cansult Limited"
3,1153,"Capgemini "
3,1156,"Capilatis"
3,1159,"Capitalia S.p.A."
3,1161,"Capitis Healthcare International"
3,1162,"Capiz Sugar Central, Inc"
3,1165,"Caprabo, S.A."
3,1166,"CAPSA (Companias Asociadas Petroleras S.A.) / CAPEX S.A."
3,1169,"Carat Espana"
3,1170,"Cargill S.A."
3,1172,"Cariaga Law Offices"
3,1174,"Caritas del Peru"
3,1177,"Carnegie Endowment for International Peace"
3,1182,"Cartonajes Vir S.A."
3,1183,"Casa Esperanza"
3,1184,"Caspa"
3,1187,"CATA- Companhia Amazonia Textil de Aniagem"
3,1189,"Catering International & Services"
3,1191,"Caux Round Table"
3,1192,"CBMI Construction Co. Ltd."
3,1196,"CCU S.A."
3,1197,"CD Handicraft"
3,1198,"CDI - casa da imprensa"
3,1200,"Cebu Ferries Corporation"
3,1201,"Cedar Capital Management"
3,1204,"CEDE - Confederacion Espanola de Directivos y ejecutivos"
3,1205,"CEDIS Centro Empresarial de Inversion Social"
3,1210,"CEGID SA"
3,1211,"Cegos SA"
3,1214,"CEIM, Confederación Empresarial de Madrid- CEOD"
3,1217,"Cellocoup"
3,1218,"Cement Corporation of India"
3,1222,"Cementos Lima SA"
3,1226,"CEMEX "
3,1228,"Cemoi S.A."
3,1238,"Center for Corporate Social Responsibility"
3,1242,"Center for International Private Enterprise"
3,1245,"Central Azucarera de la Carlota"
3,1246,"Roxas Holdings, Inc."
3,1248,"Central Costanera S.A"
3,1250,"Central Cottage Industries"
3,1252,"Central de Inteligencia e Assessoria Brasil"
3,1253,"Central Dock Sud S.A"
3,1257,"Central Press S/C"
3,1260,"Central Puerto S.A."
3,1261,"Central Romana Corporation, Ltd."
3,1264,"Central Warehousing Corporation"
3,1267,"Centre For Corporate Social Responsibility"
3,1268,"Centre for Ethics and Economics CEE, Stockholm School of Economics"
3,1273,"Centro de Apoio aos Peq. Empreendimentos Est. RS-Ceape/RS"
3,1274,"INLUDES - Instituto Lucense de Desarrollo Económico"
