ORG_NAME	BHRRC_URL
Barclays	B/Barclays
Bard (see C.R. Bard)	B/BardseeCRBard
Barito Pacific Timber	B/BaritoPacificTimber
Barloworld	B/Barloworld
Barnes & Noble	B/BarnesNoble
Barratts	B/Barratts
Barrett Resources (part of Williams Companies)	B/BarrettResourcespartofWilliamsCompanies
Barrick Gold	B/BarrickGold
Barry Callebaut	B/BarryCallebaut
BASF	B/BASF
Basic Petroleum	B/BasicPetroleum
Basix	B/Basix
Bass (part of InBev)	B/BasspartofInBev
BAT (see British American Tobacco)	B/BATseeBritishAmericanTobacco
Bata	B/Bata
Bauer Nike Hockey (part of Nike)	B/BauerNikeHockeypartofNike
Bausch & Lomb	B/BauschLomb
Bavaria (part of SABMiller)	B/BavariapartofSABMiller
Bawag P.S.K.	B/BawagPSK
Baxter International	B/BaxterInternational
Bayer	B/Bayer
Bayer Schering (part of Bayer)	B/BayerScheringpartofBayer
BB&T	B/BBT
BBA Aviation	B/BBAAviation
BBC	B/BBC
BBVA	B/BBVA
BC Hydro	B/BCHydro
BCL	B/BCL
"BD (Becton, Dickinson)"	B/BDBectonDickinson
BearingPoint	B/BearingPoint
Bebidas y Alimentos	B/BebidasyAlimentos
Bechtel	B/Bechtel
Beck's (part of InBev)	B/BeckspartofInBev
Beckman Coulter	B/BeckmanCoulter
BECOL (part of Fortis)	B/BECOLpartofFortis
"Becton, Dickinson (see BD)"	B/BectonDickinsonseeBD
Bed Bath & Beyond	B/BedBathBeyond
Befesa	B/Befesa
Beiersdorf	B/Beiersdorf
Beijing General Research Institute of Mining & Metallurgy (BGRIMM)	B/BeijingGeneralResearchInstituteofMiningMetallurgyBGRIMM
Beijing Laowan Bioenergy Technology	B/BeijingLaowanBioenergyTechnology
Beijing Organic Foods	B/BeijingOrganicFoods
Beijing Urban Construction Group	B/BeijingUrbanConstructionGroup
Belcorp	B/Belcorp
Belgo Mineira (part of Arcelor Mittal)	B/BelgoMineirapartofArcelorMittal
Bell Helicopter (part of Textron)	B/BellHelicopterpartofTextron
Bellhaven Copper & Gold	B/BellhavenCopperGold
BellSouth (now AT&T)	B/BellSouthnowATT
Bemis	B/Bemis
Ben & Jerry's (part of Unilever)	B/BenJerryspartofUnilever
Ben Line Agencies	B/BenLineAgencies
Benetton	B/Benetton
Benguet	B/Benguet
Bensimon	B/Bensimon
Beowulf International	B/BeowulfInternational
Beretta	B/Beretta
Berkshire Hathaway	B/BerkshireHathaway
Berli Jucker	B/BerliJucker
Bernard Callebaut	B/BernardCallebaut
Bernas	B/Bernas
Bertelsmann	B/Bertelsmann
Best Buy	B/BestBuy
Best Western	B/BestWestern
Bestseller	B/Bestseller
BET (part of Viacom)	B/BETpartofViacom
Bethlehem Apparatus	B/BethlehemApparatus
Bezeq	B/Bezeq
BG Group	B/BGGroup
BHP Billiton	B/BHPBilliton
BHS	B/BHS
Bilbaína de Alquitranes	B/BilbanadeAlquitranes
Bilfinger Berger	B/BilfingerBerger
Bimbo	B/Bimbo
Bioderma	B/Bioderma
Biofer	B/Biofer
Biolab (part of Chemtura)	B/BiolabpartofChemtura
bioMérieux	B/bioMrieux
Birim Goldfields	B/BirimGoldfields
Birzeit Pharmaceutical Company	B/BirzeitPharmaceuticalCompany
Bivings Group	B/BivingsGroup
Biwater	B/Biwater
BJ&B	B/BJB
BJ's Wholesale Club	B/BJsWholesaleClub
Black and Veatch	B/BlackandVeatch
Black Canyon	B/BlackCanyon
Blackwater	B/Blackwater
Blackwell Publishing	B/BlackwellPublishing
Blockbuster	B/Blockbuster
Blommer Chocolate	B/BlommerChocolate
Bloomberg	B/Bloomberg
Bloomingdales (part of Federated Department Stores)	B/BloomingdalespartofFederatedDepartmentStores
Blue Cross	B/BlueCross
Bluelinx	B/Bluelinx
BlueScope Steel	B/BlueScopeSteel
BM Polyco	B/BMPolyco
BMW	B/BMW
BNFL	B/BNFL
BNP Paribas	B/BNPParibas
Boards & More	B/BoardsMore
BOC Group	B/BOCGroup
Bodegas Chandon (part of LVMH)	B/BodegasChandonpartofLVMH
Body Shop (part of L'Oréal)	B/BodyShoppartofLOral
Boehringer Ingelheim	B/BoehringerIngelheim
Boeing	B/Boeing
Bogner	B/Bogner
Boise Cascade	B/BoiseCascade
Boliden	B/Boliden
Bombardier	B/Bombardier
Bon Appetit Management	B/BonAppetitManagement
Bonnier Group	B/BonnierGroup
Bontan	B/Bontan
Bonte Gold Mines (part of Akrokeri-Ashanti Gold)	B/BonteGoldMinespartofAkrokeri-AshantiGold
Boodle & Dunthorne	B/BoodleDunthorne
Boon & Sons	B/BoonSons
Boots (now Alliance Boots)	B/BootsnowAllianceBoots
Booz Allen Hamilton	B/BoozAllenHamilton
Boras Wäfveri	B/BorasWfveri
Borders	B/Borders
BorgWarner	B/BorgWarner
BOS International (part of HBOS)	B/BOSInternationalpartofHBOS
Bosch	B/Bosch
Boskalis (see Royal Boskalis Westminster)	B/BoskalisseeRoyalBoskalisWestminster
Bossini	B/Bossini
Boston Common Asset Mgmt.	B/BostonCommonAssetMgmt
Boston Market (part of McDonald's)	B/BostonMarketpartofMcDonalds
Botas	B/Botas
Botnia	B/Botnia
Boucheron (part of Gucci)	B/BoucheronpartofGucci
Boutique Jacob	B/BoutiqueJacob
Bouygues	B/Bouygues
Bovis Lend Lease	B/BovisLendLease
Bowater	B/Bowater
Bozovich	B/Bozovich
BP	B/BP
BR-111	B/BR-111
Bracken Jewelers	B/BrackenJewelers
Brambles	B/Brambles
Branch Banking & Trust (see BB&T)	B/BranchBankingTrustseeBBT
Brandix	B/Brandix
Bravo (part of NBC)	B/BravopartofNBC
Brazilian Diamonds	B/BrazilianDiamonds
Breed Technologies	B/BreedTechnologies
Brenco International	B/BrencoInternational
Brenntag	B/Brenntag
Bridas	B/Bridas
Bridgestone	B/Bridgestone
Bridgestone-Firestone (part of Bridgestone)	B/Bridgestone-FirestonepartofBridgestone
Brigard & Urrutia	B/BrigardUrrutia
Bright Horizons	B/BrightHorizons
Brine	B/Brine
Brio	B/Brio
Briscoe	B/Briscoe
Bristol & West plc	B/BristolWestplc
Bristol-Myers Squibb	B/Bristol-MyersSquibb
British Airports Authority (BAA)	B/BritishAirportsAuthorityBAA
British Airways	B/BritishAirways
British American Tobacco	B/BritishAmericanTobacco
British American Tobacco Nigeria (part of British American Tobacco)	B/BritishAmericanTobaccoNigeriapartofBritishAmericanTobacco
British Energy	B/BritishEnergy
British Gas (part of Centrica)	B/BritishGaspartofCentrica
British Land	B/BritishLand
British Midland	B/BritishMidland
British Sky Broadcasting	B/BritishSkyBroadcasting
Broad Air Conditioning	B/BroadAirConditioning
Brocock	B/Brocock
Brodrene Hartmann (see Hartmann)	B/BrodreneHartmannseeHartmann
Brooks Brothers	B/BrooksBrothers
Brookstone	B/Brookstone
Brown & Williamson (now Reynolds American)	B/BrownWilliamsonnowReynoldsAmerican
Brown Shoe	B/BrownShoe
Brunner Mond	B/BrunnerMond
Brunswick	B/Brunswick
Brylane (part of Pinault Printemps-Redoute)	B/BrylanepartofPinaultPrintemps-Redoute
BSkyB (see British Sky Broadcasting)	B/BSkyBseeBritishSkyBroadcasting
BT	B/BT
BT Financial (part of Westpac)	B/BTFinancialpartofWestpac
Buca	B/Buca
Budweiser (part of Anheuser-Busch)	B/BudweiserpartofAnheuser-Busch
Buenaventura	B/Buenaventura
Bulgari	B/Bulgari
Bull	B/Bull
Bunge	B/Bunge
Bunnings Warehouse	B/BunningsWarehouse
BUPA	B/BUPA
Burberry (part of GUS)	B/BurberrypartofGUS
Burger King	B/BurgerKing
Burke Group	B/BurkeGroup
Burlington Northern & Santa Fe Railway (BNSF)	B/BurlingtonNorthernSantaFeRailwayBNSF
