"ID","INITIATIVE_ID","ORG_ID","CONTACT_ID"
790,2,778,55976823
778,4,3047,2645
803,4,780,117196823
781,4,5622,75166823
782,4,6028,115866823
804,4,4245,110736823
784,4,24,13
785,4,5214,85566823
786,4,1090,970
788,4,4836,25706823
791,1,8600,110266823
792,1,8600,110286823
1087,2,6058,124726823
794,1,8600,116656823
796,2,6270,116686823
1105,2,2609,130206823
799,4,5924,55176823
805,4,4255,31006823
809,4,8253,108166823
811,4,8056,103546823
812,4,1684,117236823
813,4,8203,107116823
814,4,543,54706823
818,4,1070,117256823
822,4,3919,3557
823,4,6985,117266823
826,4,6481,40996823
827,4,8423,112546823
829,4,8108,104826823
832,4,3069,21106823
833,4,7817,117286823
834,4,7974,100976823
838,4,5985,52156823
1041,1,2134,118716823
840,4,5889,5136
841,4,3698,3372
843,4,2502,66606823
844,4,834,31766823
850,4,2884,117296823
854,4,8001,102056823
856,4,6419,5624
858,4,5535,43516823
859,4,1707,102736823
860,4,6544,66886823
861,4,1874,1618
1028,4,1317,98876823
864,4,8536,115156823
866,4,839,117336823
867,4,3093,15356823
868,4,4582,54616823
869,4,838,719
870,4,4148,117356823
871,4,6393,64606823
873,4,3852,41836823
874,4,8344,110846823
877,4,6270,5506
879,4,7918,99436823
880,4,289,93736823
882,4,8095,104466823
883,4,2007,3366823
884,4,2083,45916823
886,4,6089,117396823
887,4,7886,115886823
896,4,157,110136823
897,4,1592,89616823
899,4,2296,69476823
900,4,8188,106786823
901,4,2503,85056823
