"COUNTRY_ID","COP_ID"
"EC","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"EG","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"SV","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GQ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"ER","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"EE","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"ET","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"FJ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"FI","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"FR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GF","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PF","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GA","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GE","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"DE","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GH","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GI","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"ZZ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GD","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GU","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GT","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GN","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GW","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"GY","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"HT","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"VA","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"HN","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"HK","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"HU","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"IS","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"IN","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"ID","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"XZ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"IR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"IQ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"IE","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"IL","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"IT","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"JM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"JP","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"JO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KZ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KE","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KI","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KP","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KW","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KG","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LA","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LV","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LB","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LS","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LY","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LI","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LT","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LU","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MK","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MG","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MW","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MY","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MV","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"ML","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MT","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MH","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MQ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MU","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"YT","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MX","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"FM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MD","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MC","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MN","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"ME","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MS","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MA","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MZ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NA","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NP","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NL","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NC","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NZ","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NI","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NE","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NG","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NU","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NF","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"MP","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"NO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"OM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PK","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PW","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PA","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PG","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PY","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PE","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PH","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PN","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PL","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PT","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PR","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"QA","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"RE","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"RO","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"RU","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"RW","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"SH","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"KN","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"LC","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
"PM","E400BE8B-E2AA-4DD4-9986-A8C393181955                        "
