"INTEREST_ID","CONTACT_ID","R01_ORG_NAME"
5,1569,"Confederacao das Associacoes Comerciais e Empresariais do Brazil - CACB"
5,1749,"STR-Responsible Sourcing"
5,1842,"Demax Plc"
5,1891,"DGT - Zikol - dooel export-import"
5,3320,"Henkel AG & Co. KGaA"
5,3379,"Hope Worldwide-Pakistan"
5,3577,"InoBerza Matovic, od"
5,4093,"Lazare Kaplan International Inc."
5,4108,"Ledesma SAAI"
5,4273,"Martha Tilaar Group"
5,4320,"Medekit.com"
5,4456,"M-real Corporation"
5,4505,"National Youth Council Benin (NYC - Benin)"
5,4970,"Post Grade School of the Federico Villarreal National University"
5,5411,"Schneider Power Inc"
5,5528,"SilJa"
5,5967,"The Consortium for Purchasing and Distribution Ltd."
5,6204,"Trimtab Management Systems"
5,6500,"University of Melbourne"
5,1876823,"Rapido Color"
5,3156823,"Hope Worldwide-Pakistan"
5,4626823,"Black Coral Inc."
5,10566823,"PT. Cedefindo"
5,13516823,"Corporate Social Responsibilty Association"
5,13856823,"Butek Machinery Co. A.S."
5,23996823,"Mi2international Inc and SA"
5,25586823,"Mettenmeier GmbH - Utility Solutions"
5,25596823,"Mettenmeier GmbH - Utility Solutions"
5,30726823,"Deloitte, S.L."
5,36896823,"Octaga Green Power & Sugar Ltd."
5,38126823,"IME - Imprimerie Moderne de l'Est"
5,38426823,"Eudasys"
5,41816823,"SGS Mozambique, Lda"
5,43086823,"Rapaport Group of Companies"
5,44496823,"CIFF Centro Internacional de Formación Financiera"
5,45066823,"S.C. Contor Group S.A."
5,45916823,"Danfoss Group"
5,50366823,"Business Humanitarian Forum"
5,52746823,"HSCC Hospital Services Consultancy Corp. Ltd."
5,52886823,"Outermedia GmbH"
5,54426823,"Garant Vohitra Environnement"
5,54466823,"Petrobras SA"
5,63106823,"Garant Vohitra Environnement"
5,67736823,"BPZ Exploracion and Produccion S.R.L."
5,68506823,"Energy Management Services"
5,68826823,"South East Consortium for International Development - SECID"
5,83796823,"Indian Oil Corporation Ltd."
5,88836823,"Charlemagne"
5,88856823,"Novartis Corporativo, S.A. de C.V."
5,96956823,"China Petroleum and Chemical Corporation - Sinopec"
5,98546823,"Nike, Inc."
5,100976823,"Sansemen Government"
5,101776823,"Youth Association for Habitat"
6,70,"ABB S.A."
6,347,"Allianz SE"
6,380,"Ambiente s.r.l."
6,485,"Aqua Packaging Limited"
6,826,"ArcelorMittal Brasil"
6,973,"Broedrene Hartmann A/S"
6,1266,"Centre For Corporate Social Responsibility"
6,1267,"Centre For Corporate Social Responsibility"
6,1569,"Confederacao das Associacoes Comerciais e Empresariais do Brazil - CACB"
6,1791,"Danone-Serdika SA"
6,1842,"Demax Plc"
6,1943,"DuPont"
6,2240,"Essilor International"
6,2294,"Europcar"
6,3249,"Guardian's Co-operative Society Limited"
6,3378,"Hope Worldwide-Pakistan"
6,3379,"Hope Worldwide-Pakistan"
6,3577,"InoBerza Matovic, od"
6,4093,"Lazare Kaplan International Inc."
6,4108,"Ledesma SAAI"
6,4184,"Deutsche Lufthansa Aktiengesellschaft"
6,4272,"Martha Tilaar Group"
6,4320,"Medekit.com"
6,4333,"Mekelle Chamber of Commerce of Ethiopia"
6,4456,"M-real Corporation"
6,4505,"National Youth Council Benin (NYC - Benin)"
6,4929,"Pirelli & C. S.p.A."
6,4967,"Portugal Telecom"
6,4970,"Post Grade School of the Federico Villarreal National University"
6,5146,"Remy Cointreau"
6,5757,"Sun and Sand Beach Resort"
6,5967,"The Consortium for Purchasing and Distribution Ltd."
6,6126,"Tort Valls S.A."
6,6204,"Trimtab Management Systems"
6,6279,"Unilever"
6,6496,"University of Dallas"
6,6498,"University of Melbourne"
6,6500,"University of Melbourne"
6,6678,"Wessex Water"
6,756823,"Accor Servicios Empresariales S.A. de C.V."
6,3136823,"Mekelle Chamber of Commerce of Ethiopia"
6,3156823,"Hope Worldwide-Pakistan"
6,3166823,"ABB S.A."
6,3266823,"Tata Interactive Systems"
6,3276823,"Tata Interactive Systems"
6,3476823,"Oce N.V."
6,3496823,"Piercan SAS"
6,3836823,"AXA"
6,5316823,"ASF Groupe- Autoroutes du Sud de France"
6,8696823,"Departmento de Ingenieria Ambiental de la Universidad Autonoma"
6,8846823,"Aspen Institute's Business and Society Program"
6,10506823,"Indonesia Business Links (IBL)"
6,10566823,"PT. Cedefindo"
6,11286823,"BBVA Banco Continental"
6,13456823,"4flow AG"
6,14186823,"Empresas Publicas de Medellin"
6,15946823,"Groupe SEB"
6,15956823,"Groupe SEB"
6,15996823,"Portugal Telecom"
6,17626823,"Groupe Banques Populaires"
6,19166823,"Anne Gire International Consulting Cabinet"
6,20406823,"Visteon Corporation"
6,22336823,"Arbuniés y Lekunberri Asociados"
6,24096823,"Gaz de France"
6,24956823,"Roadmap Excelencia y Responsabilidad"
6,26106823,"Fairmount Minerals"
6,31936823,"Wallenius Wilhemsen Logistics"
6,33466823,"Ms Community Development Corporation Limited"
6,35246823,"Gindre Duchavany"
6,35956823,"The Dolphin Dream Society"
6,38126823,"IME - Imprimerie Moderne de l'Est"
6,39016823,"SOLEOU-AGROAZUR"
6,41806823,"SGS Mozambique, Lda"
6,41816823,"SGS Mozambique, Lda"
6,43016823,"Quiplast S.A."
6,43086823,"Rapaport Group of Companies"
6,45056823,"S.C. Contor Group S.A."
6,45066823,"S.C. Contor Group S.A."
6,45416823,"S.C. Contor Group S.A."
6,45916823,"Danfoss Group"
6,46786823,"Schneider Electric Argentina"
6,49336823,"ICA AB"
6,50666823,"IKEA Group"
6,51226823,"Exxaro Resources Ltd."
6,52886823,"Outermedia GmbH"
6,53986823,"Hurley Palmer Flatt"
6,54426823,"Garant Vohitra Environnement"
6,54466823,"Petrobras SA"
6,57586823,"PTS Consulting Japan K.K."
6,62396823,"Blue Wilderness Management Group Inc."
6,63106823,"Garant Vohitra Environnement"
6,64316823,"Nou Sud"
6,65066823,"Eudoweb"
6,65916823,"Perstorp Holding AB"
6,67616823,"SK Energy Co., Ltd."
6,67936823,"Credit Suisse"
6,68096823,"Grenoble Ecole de Management"
6,68506823,"Energy Management Services"
6,68826823,"South East Consortium for International Development - SECID"
6,69796823,"Sanofi-Aventis"
6,73566823,"Endesa Italia SpA"
6,76216823,"Nou Sud"
6,77716823,"Standard Chartered Bank"
6,83796823,"Indian Oil Corporation Ltd."
6,85446823,"MTN Nigeria Communications Ltd."
6,88476823,"WGZ Bank AG Westdeutche Genossenschafts-Zentralbank"
6,88836823,"Charlemagne"
6,89696823,"Statoil Hydro"
6,90426823,"Finaxo-Environnement"
6,91386823,"Korea Southern Power Co., Ltd."
6,91926823,"ESCEM"
6,93826823,"TUV Rheinland Holding AG"
6,94106823,"Portugal Telecom"
6,94116823,"Portugal Telecom"
6,95846823,"Empresas Publicas de Medellin"
6,96546823,"Intercultura Language and Cultural Centre"
6,96956823,"China Petroleum and Chemical Corporation - Sinopec"
6,98546823,"Nike, Inc."
6,100976823,"Sansemen Government"
6,101006823,"4C Strategies AB"
6,101776823,"Youth Association for Habitat"
6,102926823,"Labfarve Fundación Laboratorio de Farmacologia Vegetal"
6,103626823,"GSE S.A."
7,926,"BEM Management School"
7,4093,"Lazare Kaplan International Inc."
7,4320,"Medekit.com"
7,4333,"Mekelle Chamber of Commerce of Ethiopia"
7,4505,"National Youth Council Benin (NYC - Benin)"
7,4553,"New York University"
7,4821,"Paolini S.A.I.C."
7,4970,"Post Grade School of the Federico Villarreal National University"
7,5123,"Redondo y Garcia SA"
7,5157,"Renault Trucks"
7,6498,"University of Melbourne"
7,3136823,"Mekelle Chamber of Commerce of Ethiopia"
7,13856823,"Butek Machinery Co. A.S."
7,22186823,"Network Systems"
7,23996823,"Mi2international Inc and SA"
7,30726823,"Deloitte, S.L."
7,41816823,"SGS Mozambique, Lda"
7,43086823,"Rapaport Group of Companies"
7,44436823,"Uretec S.A."
7,45916823,"Danfoss Group"
7,57256823,"Sirota Consulting, LLC"
7,68826823,"South East Consortium for International Development - SECID"
7,83796823,"Indian Oil Corporation Ltd."
7,93826823,"TUV Rheinland Holding AG"
7,96956823,"China Petroleum and Chemical Corporation - Sinopec"
7,100976823,"Sansemen Government"
8,70,"ABB S.A."
8,4108,"Ledesma SAAI"
8,4456,"M-real Corporation"
8,4505,"National Youth Council Benin (NYC - Benin)"
8,5967,"The Consortium for Purchasing and Distribution Ltd."
8,6204,"Trimtab Management Systems"
8,6498,"University of Melbourne"
8,6500,"University of Melbourne"
8,3166823,"ABB S.A."
8,22336823,"Arbuniés y Lekunberri Asociados"
8,39016823,"SOLEOU-AGROAZUR"
8,40036823,"O Boticario"
8,41816823,"SGS Mozambique, Lda"
8,43086823,"Rapaport Group of Companies"
8,45056823,"S.C. Contor Group S.A."
8,45066823,"S.C. Contor Group S.A."
8,45416823,"S.C. Contor Group S.A."
8,49336823,"ICA AB"
8,54466823,"Petrobras SA"
8,63196823,"Blue Wilderness Management Group Inc."
8,64316823,"Nou Sud"
8,67936823,"Credit Suisse"
8,68096823,"Grenoble Ecole de Management"
8,68506823,"Energy Management Services"
8,76216823,"Nou Sud"
8,83796823,"Indian Oil Corporation Ltd."
8,96956823,"China Petroleum and Chemical Corporation - Sinopec"
8,100976823,"Sansemen Government"
9,88,"Acciona"
9,973,"Broedrene Hartmann A/S"
9,1199,"CDI - casa da imprensa"
9,1791,"Danone-Serdika SA"
9,2681,"Gamesa Corporación Tecnológica"
9,4093,"Lazare Kaplan International Inc."
9,4108,"Ledesma SAAI"
9,4184,"Deutsche Lufthansa Aktiengesellschaft"
9,4369,"Metsaliitto Group"
9,4456,"M-real Corporation"
9,4505,"National Youth Council Benin (NYC - Benin)"
9,4929,"Pirelli & C. S.p.A."
9,5967,"The Consortium for Purchasing and Distribution Ltd."
9,6204,"Trimtab Management Systems"
9,6496,"University of Dallas"
9,666823,"Soluciones Dinamicas"
9,3476823,"Oce N.V."
9,13516823,"Corporate Social Responsibilty Association"
9,14186823,"Empresas Publicas de Medellin"
9,19166823,"Anne Gire International Consulting Cabinet"
9,20406823,"Visteon Corporation"
9,24956823,"Roadmap Excelencia y Responsabilidad"
9,25426823,"Deloitte Touche Tohmatsu"
9,25436823,"Deloitte Touche Tohmatsu"
9,25446823,"Deloitte Touche Tohmatsu"
